項番	番号	都道府県	遺跡名	所在地	サンプル採取地点等	試料の種類	試料コード1	試料コード2	時代	時代詳細	時代コード	試料番号	測定方法	C14年代	C14年代±	暦年較正用C14年代	暦年較正用C14年代±	δ13C（AMS）	δ13C（AMS）±	δ13C（IRMS）	分析者（著者）	分析機関	刊行年	報告タイトル	ページ	備考	報告書名	発行者
364	7422	13：東京都	中田遺跡	八王子市中野山王	SS-2	炭化材(クリ)	T	f	縄文時代	----	B	IAAA-111506	AMS法	4390	30	4391	25	-22.84	0.41	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2021	縄文時代集石の年代と植物利用	14-20	----	東京都埋蔵文化財センター調査報告第273集　第二分冊　中田遺跡Ⅱー自然科学分析･写真図版編ー	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
365	7421	13：東京都	中田遺跡	八王子市中野山王	SS-2	炭化材(クリ)	T	f	縄文時代	----	B	IAAA-111505	AMS法	4420	30	4423	35	-29.84	0.41	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2021	縄文時代集石の年代と植物利用	14-20	----	東京都埋蔵文化財センター調査報告第273集　第二分冊　中田遺跡Ⅱー自然科学分析･写真図版編ー	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
366	7419	13：東京都	中田遺跡	八王子市中野山王	SS-1	炭化材(クリ)	T	f	縄文時代	----	B	IAAA-111503	AMS法	4440	20	4436	24	-25.72	0.5	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2021	縄文時代集石の年代と植物利用	14-20	----	東京都埋蔵文化財センター調査報告第273集　第二分冊　中田遺跡Ⅱー自然科学分析･写真図版編ー	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
367	7424	13：東京都	中田遺跡	八王子市中野山王	SS-4	炭化材(トネリコ属)	T	f	縄文時代	----	B	IAAA-111508	AMS法	4500	30	4500	26	-27.12	0.68	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2021	縄文時代集石の年代と植物利用	14-20	----	東京都埋蔵文化財センター調査報告第273集　第二分冊　中田遺跡Ⅱー自然科学分析･写真図版編ー	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
368	7426	13：東京都	中田遺跡	八王子市中野山王	SS-4	炭化材(オニグルミ)	T	f	縄文時代	----	B	IAAA-111510	AMS法	4480	30	4482	26	-25.39	0.47	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2021	縄文時代集石の年代と植物利用	14-20	----	東京都埋蔵文化財センター調査報告第273集　第二分冊　中田遺跡Ⅱー自然科学分析･写真図版編ー	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
369	7425	13：東京都	中田遺跡	八王子市中野山王	SS-4	炭化材(トネリコ属)	T	f	縄文時代	----	B	IAAA-111509	AMS法	4510	30	4513	25	-21.74	0.43	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2021	縄文時代集石の年代と植物利用	14-20	----	東京都埋蔵文化財センター調査報告第273集　第二分冊　中田遺跡Ⅱー自然科学分析･写真図版編ー	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
370	7418	13：東京都	中田遺跡	八王子市中野山王	SS-1	炭化材(クリ)	T	f	縄文時代	----	B	IAAA-111502	AMS法	4450	20	4453	24	-26.7	0.45	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2021	縄文時代集石の年代と植物利用	14-20	----	東京都埋蔵文化財センター調査報告第273集　第二分冊　中田遺跡Ⅱー自然科学分析･写真図版編ー	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
371	7524	13：東京都	中里峽上遺跡	北区中里	SK01	炭化材(エノキ属)	T	f	中世	----	F	IAAA-90419	AMS法	660	30	----	----	----	----	----	加速器分析研究所　小林謙一	加速器分析研究所	2009	中里峽上遺跡における放射性炭素年代(AMS測定)　　東京都北区中里峽上遺跡SK01出土炭化材年代測定結果について	90-95	----	中里峽上遺跡発掘調査報告書−中里三丁目7番7号駒込学生会館女子寮地点−	財団法人やまがた育英会　北区教育委員会　共和開発株式会社
372	7525	13：東京都	中里峽上遺跡	北区中里	SK01	炭化材(エノキ属)	T	f	中世	----	F	IAAA-90420	AMS法	700	30	----	----	----	----	----	加速器分析研究所　小林謙一	加速器分析研究所	2009	中里峽上遺跡における放射性炭素年代(AMS測定)　　東京都北区中里峽上遺跡SK01出土炭化材年代測定結果について	90-95	----	中里峽上遺跡発掘調査報告書−中里三丁目7番7号駒込学生会館女子寮地点−	財団法人やまがた育英会　北区教育委員会　共和開発株式会社
373	7523	13：東京都	中里峽上遺跡	北区中里	SK01	炭化材(エノキ属)	T	f	中世	----	F	IAAA-90418	AMS法	630	30	----	----	----	----	----	加速器分析研究所　小林謙一	加速器分析研究所	2009	中里峽上遺跡における放射性炭素年代(AMS測定)　　東京都北区中里峽上遺跡SK01出土炭化材年代測定結果について	90-95	----	中里峽上遺跡発掘調査報告書−中里三丁目7番7号駒込学生会館女子寮地点−	財団法人やまがた育英会　北区教育委員会　共和開発株式会社
374	7506	13：東京都	中里貝塚	北区上中里	B地点　S7	カキ	M	n	縄文時代	----	B	PAL-759	β線法	4500	120	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
375	7508	13：東京都	中里貝塚	北区上中里	B地点　S11	カキ	M	n	縄文時代	----	B	PAL-767	β線法	4370	90	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
376	7512	13：東京都	中里貝塚	北区上中里	7トレンチ第4地点	カキ	M	n	縄文時代	----	B	PAL-771	β線法	4500	120	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
377	7516	13：東京都	中里貝塚	北区上中里	G地点　S3-2(Ⅴ層)	カキ	M	n	縄文時代	----	B	PAL-899	β線法	4010	130	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
378	7520	13：東京都	中里貝塚	北区上中里	G地点　調査区内(Ⅳ層)	サメ椎体	M	o	縄文時代	----	B	PAL-903	β線法	2130	560	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
379	7522	13：東京都	中里貝塚	北区上中里	G地点　調査区東壁(Ⅲ層)	木材	T	d	縄文時代	----	B	PAL-905	β線法	2400	140	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
380	7521	13：東京都	中里貝塚	北区上中里	G地点　調査区北壁(Ⅳ層)	木材	T	d	縄文時代	----	B	PAL-904	β線法	1870	190	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
381	7519	13：東京都	中里貝塚	北区上中里	G地点　S8−4(Ⅴ層)	カキ	M	n	縄文時代	----	B	PAL-902	β線法	3910	90	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
382	7518	13：東京都	中里貝塚	北区上中里	G地点　S8−1(Ⅴ層)	カキ	M	n	縄文時代	----	B	PAL-901	β線法	3890	100	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
383	7517	13：東京都	中里貝塚	北区上中里	G地点　S3-5(Ⅴ層)	カキ	M	n	縄文時代	----	B	PAL-900	β線法	3980	110	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
384	7515	13：東京都	中里貝塚	北区上中里	C地点　18･19	カキ	M	n	縄文時代	----	B	PAL-762	β線法	2750	370	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
385	7514	13：東京都	中里貝塚	北区上中里	C地点　15	カキ	M	n	縄文時代	----	B	PAL-761	β線法	3330	190	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
386	7513	13：東京都	中里貝塚	北区上中里	C地点　8	カキ	M	n	縄文時代	----	B	PAL-760	β線法	3340	220	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
387	7511	13：東京都	中里貝塚	北区上中里	7トレンチ第4地点	カキ	M	n	縄文時代	----	B	PAL-770	β線法	4270	80	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
388	7510	13：東京都	中里貝塚	北区上中里	7トレンチ第2地点	カキ	M	n	縄文時代	----	B	PAL-769	β線法	4150	80	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
389	7509	13：東京都	中里貝塚	北区上中里	B地点　S11	ハマグリ･カキ	M	n	縄文時代	----	B	PAL-768	β線法	4480	80	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
390	7507	13：東京都	中里貝塚	北区上中里	B地点　S7	カキ	M	n	縄文時代	----	B	PAL-766	β線法	4610	80	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
391	7505	13：東京都	中里貝塚	北区上中里	B地点　S6	カキ	M	n	縄文時代	----	B	PAL-765	β線法	4460	80	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
392	7478	13：東京都	中里貝塚	北区上中里	杭3	木材(広葉樹環孔材)	T	d	縄文時代中期	阿玉台式	B	Pal-294	β線法	4270	1410	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
393	7480	13：東京都	中里貝塚	北区上中里	焚き火址	炭化材	T	f	縄文時代後期	称名寺式	B	Pal-296	β線法	3890	210	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
394	7481	13：東京都	中里貝塚	北区上中里	第1号木枠付土坑上部	木材(トネリコ属)	T	d	縄文時代中期	阿玉台式	B	Pal-297	β線法	4430	410	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
395	7479	13：東京都	中里貝塚	北区上中里	杭5	木材(カエデ属)	T	d	縄文時代中期	阿玉台式	B	Pal-295	β線法	4560	530	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
396	7484	13：東京都	中里貝塚	北区上中里	S-1	貝	M	n	縄文時代	----	B	Pal-327	β線法	4490	300	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
397	7488	13：東京都	中里貝塚	北区上中里	S-18	貝	M	n	縄文時代	----	B	Pal-331	β線法	3910	390	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
398	7490	13：東京都	中里貝塚	北区上中里	S-18	貝	M	n	縄文時代	----	B	Pal-333	β線法	4080	270	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
399	7492	13：東京都	中里貝塚	北区上中里	波食台上面　木道	木材(コナラ亜属)	T	d	縄文時代	----	B	Beta-138281	AMS法	5090	50	----	----	----	----	-24.7	北区教育委員会	パリノ･サーヴェイ	2002	基本層序と年代	291-296	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
400	7495	13：東京都	中里貝塚	北区上中里	土坑内	炭化物	T	h	縄文時代	阿玉台式	B	Beta-138279	AMS法	4340	40	----	----	----	----	-25.7	北区教育委員会	パリノ･サーヴェイ	2002	基本層序と年代	291-296	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
401	7494	13：東京都	中里貝塚	北区上中里	土坑内	オニグルミ	T	e	縄文時代	----	B	Beta-138284	AMS法	4470	40	----	----	----	----	-26.3	北区教育委員会	パリノ･サーヴェイ	2002	基本層序と年代	291-296	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
402	7493	13：東京都	中里貝塚	北区上中里	波食台上面(木道窪み内)	マガキ	M	n	縄文時代	----	B	Beta-138283	AMS法	4760	40	----	----	----	----	-0.5	北区教育委員会	パリノ･サーヴェイ	2002	基本層序と年代	291-296	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
403	7491	13：東京都	中里貝塚	北区上中里	S-18	貝	M	n	縄文時代	----	B	Pal-334	β線法	4640	770	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
404	7489	13：東京都	中里貝塚	北区上中里	S-18	貝	M	n	縄文時代	----	B	Pal-332	β線法	3980	390	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
405	7487	13：東京都	中里貝塚	北区上中里	S-11	貝	M	n	縄文時代	----	B	Pal-330	β線法	4810	320	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
406	7486	13：東京都	中里貝塚	北区上中里	S-11	貝	M	n	縄文時代	----	B	Pal-329	β線法	4550	620	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
407	7485	13：東京都	中里貝塚	北区上中里	S-5	貝	M	n	縄文時代	----	B	Pal-328	β線法	4560	430	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
408	7483	13：東京都	中里貝塚	北区上中里	S-1	貝	M	n	縄文時代	----	B	Pal-326	β線法	4590	220	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
409	7482	13：東京都	中里貝塚	北区上中里	S-1	貝	M	n	縄文時代	----	B	Pal-325	β線法	4540	340	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
410	7496	13：東京都	中里貝塚	北区上中里	土坑内	炭化物	T	h	縄文時代	阿玉台式	B	Beta-138280	AMS法	4470	50	----	----	----	----	-24.7	北区教育委員会	パリノ･サーヴェイ	2002	基本層序と年代	291-296	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
411	7500	13：東京都	中里貝塚	北区上中里	B地点　S3	カキ	M	n	縄文時代	----	B	PAL-756	β線法	4460	100	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
412	7504	13：東京都	中里貝塚	北区上中里	B地点　S6	カキ	M	n	縄文時代	----	B	PAL-758	β線法	4260	110	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
413	7503	13：東京都	中里貝塚	北区上中里	B地点　S5	アサリ	M	n	縄文時代	----	B	PAL-757	β線法	4210	270	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
414	7502	13：東京都	中里貝塚	北区上中里	B地点　S5	カキ	M	n	縄文時代	----	B	PAL-764	β線法	4300	70	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
415	7501	13：東京都	中里貝塚	北区上中里	B地点　S5	カキ	M	n	縄文時代	----	B	PAL-763	β線法	4350	90	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
416	7499	13：東京都	中里貝塚	北区上中里	B地点　S3	カキ	M	n	縄文時代	----	B	PAL-755	β線法	4410	90	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2002	中里貝塚の形成年代と古環境	336-353	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
417	7498	13：東京都	中里貝塚	北区上中里	BⅣc層(1Cトレンチ)	炭化物	T	h	縄文時代	加曽利E式	B	Beta-138278	AMS法	4370	40	----	----	----	----	-25.7	北区教育委員会	パリノ･サーヴェイ	2002	基本層序と年代	291-296	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
418	7497	13：東京都	中里貝塚	北区上中里	波食台上面(5Aトレンチ)	木材(ケヤキ)	T	d	縄文時代	----	B	Beta-138282	AMS法	4420	40	----	----	----	----	-27.6	北区教育委員会	パリノ･サーヴェイ	2002	基本層序と年代	291-296	----	北区埋蔵文化財調査報告第29集　七社神社裏貝塚･西ヶ原貝塚Ⅲ･中里貝塚Ⅱ	北区教育委員会社会教育課
419	7477	13：東京都	中里貝塚	北区上中里	S-30	木材(ケンポナシ属)	T	d	縄文時代	----	B	Pal-293	β線法	2470	280	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2000	堆積年代	33-35	----	北区埋蔵文化財調査報告第26集　中里貝塚	北区教育委員会社会教育課
420	7436	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L201 地層C(第1泥炭層)	材	T	d	縄文時代中期	----	B	Gak-11790	β線法	3740	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
421	7440	13：東京都	中里遺跡	北区上中里田端駅構内	G地区,　M〜N180 地層C(第2泥炭層)	材	T	d	縄文時代中〜晩期	----	B	Gak-11794	β線法	4080	110	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
422	7442	13：東京都	中里遺跡	北区上中里田端駅構内	H地区,　M201 地層C(第3泥炭層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11796	β線法	1710	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
423	7444	13：東京都	中里遺跡	北区上中里田端駅構内	G地区,　M〜N180 地層C(第3泥炭層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11798	β線法	3290	100	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
424	7448	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L207 地層C(第2･第3泥炭間層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11802	β線法	3780	110	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
425	7451	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　N〜S173 地層E(黒褐色シルト層)	材	T	d	奈良･平安時代	----	E	Gak-11805	β線法	1860	100	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
426	7450	13：東京都	中里遺跡	北区上中里田端駅構内	F地区,　O〜P165 地層C(第3泥炭層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11804	β線法	2480	90	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
427	7449	13：東京都	中里遺跡	北区上中里田端駅構内	G地区,　N180 地層C(第3泥炭層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11803	β線法	940	100	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
428	7447	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　K192 地層C(第2･第3泥炭間層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11801	β線法	2170	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
429	7446	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L172 地層C(第3泥炭層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11800	β線法	1900	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
430	7445	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L172 地層C(第3泥炭層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11799	β線法	3280	100	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
431	7443	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L210 地層C(第3泥炭層)	材	T	d	縄文時代後期〜晩期	----	B	Gak-11797	β線法	2610	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
432	7441	13：東京都	中里遺跡	北区上中里田端駅構内	H地区,　M201 地層C(第2泥炭層)	材	T	d	縄文時代中〜晩期	----	B	Gak-11795	β線法	3150	120	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
433	7439	13：東京都	中里遺跡	北区上中里田端駅構内	C地区,　L201 地層C(第2泥炭層)	材	T	d	縄文時代中〜晩期	----	B	Gak-11793	β線法	2710	100	----	----	----	----	----	堀口萬吉･清水康守･小林健助･駒井潔	学習院大学理学部年代測定室	1987	中里遺跡におけるC-14年代	255-261	----	中里遺跡1ー遺跡と古環境　1ー	東北新幹線中里遺跡調査会
